06/06/2020,kg,lbs,,,kg,lbs
28/03/2020,116.3,115.5,0.9,,,
29/03/2020,117.1,115.7,0.8,,,
30/03/2020,116.6,116.0,-0.5,,,
31/03/2020,116.6,116.2,0,,,
01/04/2020,115.6,116.2,-1,,,
02/04/2020,117.5,116.4,1.9,,,
03/04/2020,118.5,116.9,1,,,
04/04/2020,116.5,116.9,-2,,,
05/04/2020,116.6,116.8,0.1,,,
06/04/2020,116.2,116.8,-0.4,,,
07/04/2020,117,116.8,0.8,,,
08/04/2020,117.2,117.1,0.2,,,
09/04/2020,117.5,117.1,0.3,,,
10/04/2020,117.2,116.9,-0.3,,,
11/04/2020,117,117.0,-0.2,,,
12/04/2020,116.5,116.9,-0.5,,,
13/04/2020,116.5,117.0,0,,,
14/04/2020,116.7,116.9,0.2,,,
15/04/2020,117.00,116.9,0.30,,,
16/04/2020,116.95,116.8,-0.05,,,
17/04/2020,117.20,116.8,0.25,,,
18/04/2020,117.35,116.9,0.15,,,
19/04/2020,116.70,116.9,-0.65,,,
20/04/2020,116.55,116.9,-0.15,,,
21/04/2020,116.05,116.8,-0.50,,,
22/04/2020,116.05,116.7,0.00,,,
23/04/2020,116.60,116.6,0.55,,,
24/04/2020,116.25,116.5,-0.35,,,
25/04/2020,116.25,116.4,0.00,,,
26/04/2020,116.50,116.3,0.25,,,
27/04/2020,116.70,116.3,0.20,,,
28/04/2020,116.65,116.4,-0.05,,,
29/04/2020,115.75,116.4,-0.90,,,
30/04/2020,117.00,116.4,1.25,,,
01/05/2020,117.05,116.6,0.05,,,
02/05/2020,117.15,116.7,0.10,,,
03/05/2020,116.60,116.7,-0.55,,,
04/05/2020,116.15,116.6,-0.45,,,
05/05/2020,115.60,116.5,-0.55,,,
06/05/2020,116.80,116.6,1.20,,,
07/05/2020,116.00,116.5,-0.80,,,
08/05/2020,116.40,116.4,0.40,,,
09/05/2020,116.40,116.3,0.00,,,
10/05/2020,116.60,116.3,0.20,,,
11/05/2020,116.20,116.3,-0.40,,,
12/05/2020,114.75,116.2,-1.45,,,
13/05/2020,114.15,115.8,-0.60,,,
14/05/2020,115.00,115.6,0.85,,,
15/05/2020,113.90,115.3,-1.10,,,
16/05/2020,114.05,115.0,0.15,,,
17/05/2020,114.00,114.6,-0.05,,,
18/05/2020,114.65,114.4,0.65,,,
19/05/2020,114.35,114.3,-0.30,,,
20/05/2020,114.35,114.3,0.00,,,
21/05/2020,114.75,114.3,0.40,,,
22/05/2020,115.20,114.5,0.45,,,
23/05/2020,114.85,114.6,-0.35,,,
24/05/2020,113.85,114.6,-1.00,,,
25/05/2020,114.30,114.5,0.45,,,
26/05/2020,113.90,114.5,-0.40,,,
27/05/2020,113.45,114.3,-0.45,,,
28/05/2020,113.60,114.2,0.15,,,
29/05/2020,113.75,114.0,0.15,,,
30/05/2020,113.75,113.8,0.00,,,
31/05/2020,113.60,113.8,-0.15,,,
01/06/2020,113.35,113.6,-0.25,,,
02/06/2020,112.75,113.5,-0.60,,,
03/06/2020,112.00,113.3,-0.75,,,
04/06/2020,112.10,113.0,0.10,,,
05/06/2020,112.00,112.8,-0.10,,,
06/06/2020,112.50,112.6,0.50,,,
